product,date,price,volume,best_bid,best_ask
BTC-USD,1637121860495,59069.71,0.00039569,59068.84,59069.71
BTC-USD,1637121860545,59069.71,0.01672754,59068.84,59069.71
BTC-USD,1637121860651,59068.96,0.03376706,59068.84,59069.70
BTC-USD,1637121860651,59068.84,0.16879203,59068.69,59069.70
BTC-USD,1637121860651,59068.69,0.013614,59065.11,59069.70
BTC-USD,1637121860651,59065.11,0.00320595,59064.35,59069.70
BTC-USD,1637121860651,59064.35,0.04736897,59064.34,59069.70
BTC-USD,1637121860651,59064.34,0.05,59064.32,59069.70
BTC-USD,1637121860651,59064.32,0.08463919,59063.74,59069.70
BTC-USD,1637121860651,59063.74,0.05512433,59057.81,59069.70
BTC-USD,1637121860651,59057.81,0.05,59057.80,59069.70
BTC-USD,1637121860651,59057.8,0.1,59057.79,59069.70
BTC-USD,1637121860651,59057.79,0.25404011,59055.72,59069.70
BTC-USD,1637121860651,59055.72,0.071,59055.32,59069.70
BTC-USD,1637121860651,59055.32,0.00138778,59055.31,59069.70
BTC-USD,1637121860651,59055.31,0.06706058,59055.31,59069.70
BTC-USD,1637121860804,59057.42,0.00024763,59057.42,59064.36
BTC-USD,1637121860988,59064.36,0.00163339,59064.35,59064.36
BTC-USD,1637121861351,59064.36,0.00004748,59064.35,59064.36
BTC-USD,1637121861397,59064.36,0.01767881,59064.35,59064.36
BTC-USD,1637121861397,59064.36,0.25404011,59064.35,59064.37
BTC-USD,1637121861397,59064.37,0.01767881,59064.35,59069.72
BTC-USD,1637121861397,59069.72,0.25405146,59064.35,59070.87
BTC-USD,1637121861397,59070.87,0.00880852,59064.35,59071.09
BTC-USD,1637121861397,59071.09,0.19951377,59064.35,59071.22
BTC-USD,1637121861397,59071.22,0.00841493,59064.35,59075.09
BTC-USD,1637121861397,59075.09,0.06859736,59064.35,59075.09
BTC-USD,1637121861537,59070.84,0.00001686,59070.31,59070.84
BTC-USD,1637121861809,59070.84,0.00039551,59070.83,59070.84
BTC-USD,1637121861887,59070.84,0.00161772,59065.16,59070.84
BTC-USD,1637121862039,59070.83,0.00015174,59065.16,59070.83
BTC-USD,1637121862076,59070.83,0.00084223,59065.16,59070.83
BTC-USD,1637121862169,59070.83,0.00163184,59065.16,59070.83
BTC-USD,1637121862511,59070.82,0.00133638,59070.82,59070.83
BTC-USD,1637121862518,59070.83,0.01765482,59070.82,59070.84
BTC-USD,1637121862550,59070.84,0.00485607,59070.83,59070.84
BTC-USD,1637121862641,59070.84,0.01279875,59070.83,59077.29
BTC-USD,1637121862683,59077.29,0.01686734,59073.40,59077.29
BTC-USD,1637121862878,59083.51,0.00121212,59079.74,59083.51
BTC-USD,1637121863259,59085.16,0.00047166,59085.15,59085.16
BTC-USD,1637121863524,59085.16,0.00072397,59085.15,59085.16
BTC-USD,1637121863618,59085.15,0.00004,59085.15,59085.16
BTC-USD,1637121864139,59084.57,0.00001686,59078.81,59084.57
BTC-USD,1637121864259,59083.75,0.01684092,59077.33,59083.75
BTC-USD,1637121864301,59083.75,0.00080844,59077.33,59083.75
BTC-USD,1637121864475,59077.33,0.00012051,59077.33,59083.74
BTC-USD,1637121864569,59083.74,0.01243218,59077.33,59083.74
BTC-USD,1637121864659,59082.88,0.00015174,59077.33,59082.88
BTC-USD,1637121865253,59073.85,0.00031157,59068.78,59073.85
BTC-USD,1637121865511,59073.85,0.03318369,59067.49,59073.85
BTC-USD,1637121865518,59073.85,0.00080842,59067.49,59073.85
BTC-USD,1637121865596,59072.07,0.0000675,59064.91,59072.07
BTC-USD,1637121865839,59069.22,0.00356247,59064.91,59069.22
BTC-USD,1637121866057,59069.09,0.00829281,59064.91,59069.09
BTC-USD,1637121866152,59067.55,0.00034063,59064.91,59067.55
BTC-USD,1637121867242,59066.45,0.001458,59066.45,59066.46
BTC-USD,1637121867267,59066.46,0.01659184,59066.45,59066.46
BTC-USD,1637121867465,59066.46,0.00001687,59066.45,59066.46
BTC-USD,1637121867500,59066.46,0.00006752,59066.45,59066.46
BTC-USD,1637121867513,59066.46,0.00028415,59066.45,59066.46
BTC-USD,1637121867513,59066.46,0.00028078,59066.45,59066.46
BTC-USD,1637121867530,59066.46,0.00102735,59066.45,59066.46
