price, date, volume, best_bid, best_ask
1637121153322, 59414.96,0.001681,59414.96,59420.91
1637121153353, 59420.92,0.00144889,59414.96,59420.92
1637121153407, 59415.91,0.00863703,59415.91,59420.92
1637121153407, 59415.91,0.071,59414.52,59420.92
1637121153407, 59414.52,0.04,59414.51,59420.92
1637121153407, 59414.51,0.62836297,59414.51,59420.92
1637121153614, 59423.62,0.00329618,59420.76,59423.62
1637121153720, 59425.99,0.00090435,59423.61,59425.99
1637121153869, 59426.12,0.015,59426.11,59426.12
1637121153960, 59426.48,0.12585,59426.11,59426.49
1637121153960, 59426.11,0.0839,59417.05,59426.49
1637121153960, 59417.05,0.106827,59417.00,59426.49
1637121153960, 59417,0.119378,59416.89,59426.49
1637121153960, 59416.89,0.20726569,59413.52,59426.49
1637121153960, 59413.52,0.01944569,59413.30,59426.49
1637121153960, 59413.3,0.24805349,59413.29,59426.49
1637121153960, 59413.29,0.000503,59413.29,59426.49
1637121153960, 59413.29,0.071,59413.12,59426.49
1637121153960, 59413.12,0.01777713,59413.12,59426.49
1637121154064, 59429.68,0.00066977,59429.67,59429.68
1637121154168, 59437.21,0.00039334,59429.85,59437.21
1637121154232, 59437.15,0.02518636,59429.85,59437.15
1637121154419, 59435.77,0.00824737,59429.85,59435.77
1637121154475, 59436.9,0.03,59429.85,59436.90
1637121154854, 59429.85,0.0006752,59429.85,59435.23
1637121154922, 59435.03,0.00387407,59429.85,59435.03
1637121155204, 59435.22,0.00669653,59429.86,59435.22
1637121155965, 59424.7,0.00003246,59424.70,59429.97
1637121156010, 59429.97,0.00162307,59424.70,59429.97
1637121156049, 59424.7,0.00282839,59423.48,59429.97
1637121156049, 59423.48,0.02401961,59423.48,59429.97
1637121156158, 59433.63,0.0839,59427.70,59438.22
1637121156158, 59427.7,0.106827,59427.49,59438.22
1637121156158, 59427.49,0.02867861,59426.04,59438.22
1637121156158, 59426.04,0.0851554,59426.04,59438.22
1637121156560, 59438.22,0.0020089,59430.78,59438.22
1637121156638, 59434.5,0.00136147,59430.78,59434.50
1637121156724, 59434.5,0.00246694,59426.98,59434.50
1637121156899, 59432.26,0.00008383,59421.31,59432.26
1637121157671, 59421.32,0.00030937,59421.31,59421.32
1637121157781, 59421.32,0.00162438,59421.31,59421.32
1637121157854, 59421.31,0.002521,59421.31,59425.58
1637121157918, 59425.58,0.0016744,59421.45,59425.58
1637121158385, 59425.42,0.00080274,59421.31,59425.42
1637121158674, 59427.36,0.00162186,59421.39,59427.36
1637121158949, 59428.38,0.01647249,59421.39,59428.38
1637121159219, 59426.52,0.00006709,59422.37,59426.52
1637121159552, 59435.12,0.00608778,59426.88,59435.12
1637121159665, 59435.11,0.009,59435.10,59435.11
1637121159667, 59435.11,0.01,59435.10,59437.86
1637121159919, 59437.86,0.01,59437.85,59437.86
1637121159924, 59437.86,0.00083719,59437.85,59437.86
1637121160077, 59437.86,0.02216281,59437.85,59438.22
1637121160077, 59438.22,0.20486069,59437.85,59439.79
1637121160077, 59439.79,0.0016765,59437.85,59439.79
1637121160083, 59439.79,0.0000068,59437.85,59449.79
1637121160927, 59457.77,0.68426897,59457.76,59457.77
1637121160932, 59463.73,0.00083875,59457.76,59463.73
1637121160951, 59463.73,0.00220991,59463.72,59463.73
1637121160984, 59463.73,0.06795,59463.72,59463.73
1637121161037, 59469.86,0.00160781,59463.72,59469.86
1637121161097, 59471.16,0.00070884,59464.99,59475.55
1637121161097, 59475.55,0.00096468,59464.99,59475.55
1637121161164, 59466.17,0.02929599,59463.73,59473.61
1637121161164, 59463.73,0.0016833,59463.72,59473.61
